,count,mean,std,min,1%,25%,50%,75%,99%,max
PROD_SPK,17125.0,5852268.156321168,35760.698402039336,5754884.0,5776339.24,5815189.0,5862993.0,5884868.0,5895459.76,5896690.0
CFS_SFK,17125.0,122280.10113868614,225348.98454462466,6551.0,6569.0,6889.0,7025.0,42887.0,925938.0,1192729.0
SEA_COD,17125.0,238.82779562043797,4.381023195815159,232.0,232.0,232.0,241.0,242.0,242.0,242.0
PROD_REF,17125.0,217808.40595620437,8172.484693836952,132850.0,181831.0,213434.0,218626.0,223615.0,228737.0,230535.0
PROD_DAT_CRI,2.0,20166068.0,21288.1567544022,20151015.0,20151316.06,20158541.5,20166068.0,20173594.5,20180819.94,20181121.0
BAR_COD,17125.0,5608347397461.526,43996835.04922803,5606428370869.0,5608348234573.44,5608348335041.0,5608348406284.0,5608348478052.0,5608348575954.92,5608348610346.0
NET_WEIGHT,16328.0,0.30071970847623714,0.31245124634481164,0.001,0.003,0.023,0.232,0.478,1.3166499999999979,5.057
SUP_SFK,17125.0,2417.5323211678833,1822.3377534060394,67.0,73.0,821.0,2063.0,4084.0,6492.0,6764.0
SUP_COD,17125.0,13802.655182481752,9862.45293134458,20.0,144.0,5566.0,15308.0,21270.0,30848.0,31398.0
THEME_ID,17125.0,12263.077313868613,489.80779327600777,9409.0,10599.0,11975.0,12273.0,12698.0,12991.0,13169.0
FASHIONTYPE_COD,17125.0,5.188613138686131,4.319282420550698,1.0,1.0,2.0,5.0,5.0,15.0,16.0
TARIFF_COD,17102.0,6112724614.299088,1037524381.3543353,3926200000.0,4202210090.0,6109100010.0,6206400000.0,7117190090.0,7117900000.0,7907000090.0
PRICE_BASE_W_VAT,17125.0,25.253246131386867,17.71738305849559,3.99,4.99,9.99,25.99,32.99,99.99,250.0
PRICE_BASE_W_VAT_ASWAS,17125.0,25.253246131386867,17.71738305849559,3.99,4.99,9.99,25.99,32.99,99.99,250.0
PRICE_OUTLET_W_VAT,17125.0,16.54673459854015,11.842954218550439,1.99,2.99,5.99,17.99,22.99,65.99,170.0
FLAG_FACT,0.0,,,,,,,,,
DISPLAY_COD,17125.0,30.429547445255473,31.76001153479785,1.0,1.0,8.0,11.0,61.0,121.0,121.0
STORE_DATE_PLANNED,17125.0,20236707.313576642,5370.6575454459635,20160907.0,20230112.68,20231004.0,20240313.0,20240807.0,20241106.0,20241218.0
STORE_DATE_REAL,5996.0,20236140.328052036,4869.7093340142055,20220608.0,20230412.0,20230927.0,20240207.0,20240605.0,20241016.0,20241030.0
STORE_DATE_REVISED,9523.0,20236603.990864225,5245.062850433686,20140207.0,20230512.0,20231004.0,20240221.0,20240703.0,20241106.0,20250115.0
STORE_DATE_OUTLET_REAL,4556.0,20246374.24122037,4903.279952839478,20230426.0,20230772.35,20241101.0,20250101.0,20250301.0,20250401.0,20250401.0
PROD_REF_EQUIV,17125.0,217813.23106569343,8163.764751126925,132850.0,181831.0,213434.0,218626.0,223618.0,228737.0,230535.0
CAT_COD,17125.0,57.1072700729927,5.453643727269619,52.0,52.0,52.0,54.0,64.0,64.0,64.0
GFA_COD,17125.0,205.86785401459855,5.623306948274614,201.0,201.0,202.0,203.0,209.0,225.0,229.0
GFS_COD,17125.0,306.55871532846714,10.102494516356542,301.0,301.0,302.0,303.0,305.0,344.0,348.0
DIMENSION_CONSUMABLE,0.0,,,,,,,,,
STORE_CONCEPT,0.0,,,,,,,,,
STATUS_ARTICLE,0.0,,,,,,,,,
PRODUCTION_TYPE,0.0,,,,,,,,,
STORE_LOCATION,0.0,,,,,,,,,
INFO_TXT,0.0,,,,,,,,,
AVERAGE_STORE,0.0,,,,,,,,,
CAPACITY,0.0,,,,,,,,,
START_DATE,17125.0,20219383.88729927,45021.35314640887,20100101.0,20100101.0,20230828.0,20231220.0,20240903.0,20241008.0,20241017.0
END_DATE,0.0,,,,,,,,,
ACTIVE_RECORD,17125.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRICE_LCP,16378.0,7.223284711197948,7.185962314820811,0.0,0.230054,1.054575,6.885999999999999,10.1295,36.87093399999999,77.6
TRANSP_COST,15703.0,0.5930354262879703,1.1604722669144492,0.000982,0.0026620199999999998,0.045566499999999996,0.207953,0.57865,4.956544939999997,21.962868
ONL_ENTRY_DATE,15624.0,20237266.381144393,13431.384943374327,20160608.0,20230421.0,20231003.0,20240306.0,20240725.0,20241015.0,20501231.0
ITEM_LIFE_CYCLE_WEEK,17125.0,7.61214598540146,1.8499208243795133,4.0,4.0,8.0,8.0,8.0,12.0,12.0
ONL_IMAGE_DATE,16643.0,20236349.9390134,5078.577209759601,20190123.0,20230206.0,20230919.0,20240228.0,20240709.0,20241014.0,20241017.0
RECLASSIFIED,17125.0,0.0804087591240876,0.2719329120994937,0.0,0.0,0.0,0.0,0.0,1.0,1.0
WITH_ORDER,17125.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ECI_ONLINE_DATE,9000.0,20235058.521555554,13832.979211113254,19000101.0,20230425.0,20231003.0,20231205.0,20240314.0,20240723.0,20240723.0
ITEM_GROUP,0.0,,,,,,,,,
SECONDARY_DISPLAY,0.0,,,,,,,,,
WEEKS_TARGET,17125.0,7.61214598540146,1.8499208243795133,4.0,4.0,8.0,8.0,8.0,12.0,12.0
